"cameoName","sortScore","birthdayWishes"
"Adam Duritz","-23","148"
"Aida Turturro","2","0"
"Aleah Jasmine","0","40"
"Alex Kack","149","259"
"Alfonso Ribeiro","-9","140"
"AmericanDad","0","21"
"Amos Pearce","37","37"
"Andrea Barber","-12","171"
"Andrew Dice Clay","-4","115"
"Andy Dick","-46","134"
"Andy Kindler","-87","203"
"Annalisa","0","3"
"Annie Cruz","0","35"
"Anthony Scaramucci","-117","158"
"Anya","-11","27"
"April & Phil Margera","46","217"
"Aries Spears","-3","0"
"Aubrey Edwards","0","21"
"Barry Williams","-10","151"
"Basil Brush","-3","229"
"Beefcake The Mighty","-2","16"
"Ben Sinclair","-52","189"
"Ben Stein","1","66"
"Big Daddy Kane","-2","9"
"Bill Engvall","-5","0"
"Blac Chyna","45","101"
"Bob Bergen","-5","71"
"Bob Saget","74","67"
"Bobby Brown","-18","117"
"Bobo Sasquatch","78","234"
"Boffo The Bear","-5","228"
"Bonnie Chapman","5","212"
"Bosco and his big stick","4","52"
"Boy George","41","111"
"Brad Williams","0","10"
"Brent Spiner","13","145"
"Bret “Hitman” Hart","-15","155"
"Brian Bonsall","0","16"
"Brian Posehn","-5","0"
"Brother Luck","-3","12"
"Brutus “The Barber” Beefcake","-3","74"
"Bryan Clark","2","0"
"Bubba the Love Sponge","-2","186"
"Burt","0","5"
"Burton Gilliam","6","191"
"Butterbean","1","222"
"Byron Gomez","-7","7"
"Carla Hall","1","9"
"Carrot Top","-1","0"
"Cat Drawing Guy","38","272"
"Cedric The Entertainer","-9","0"
"Chris Barnes","-17","17"
"Chris Diamantopoulos","-45","136"
"Chris Gethard","0","195"
"Chris Hansen","-102","148"
"Chris Kattan","2","181"
"Chris Kirkpatrick","-20","142"
"Chris Tucker","98","93"
"Chrissy's Wife Kelli","0","3"
"Chuck Norris","165","93"
"Chumlee","-22","213"
"Chupey Carlyle","-7","39"
"Colin Baker","0","68"
"Colin Mochrie","-11","161"
"Coolio","10","143"
"Corey Feldman","12","127"
"Count Binface","-18","81"
"Craig Kilborn","-181","108"
"Crazzy Steve","0","18"
"Crowder","-257","157"
"D Randall Blythe","5","10"
"D-Roc","1","157"
"Daddy Kindred","-20","11"
"Daddy Long Neck","0","33"
"DaddysJuiced","2","0"
"Dakota Charms","10","0"
"Dakota Skye","51","116"
"Dan Grimaldi","-4","0"
"Dana Snyder","-26","245"
"Danica McKellar","37","164"
"Daniel Davis","0","8"
"Danny Bonaduce","11","166"
"Dave Foley","9","194"
"Dave Hanson","-47","205"
"Dave Mustaine","-15","6"
"David Ellefson","-142","172"
"David Faustino","-19","142"
"David Koechner","31","139"
"David Proval","2","0"
"David Siegel","-12","96"
"David Steinberg","0","2"
"DC Young Fly","-9","0"
"deadmau5","35","104"
"Dean Malissa","1","12"
"Dean Ween","7","203"
"Dee Snider","0","119"
"Deep Roy","8","265"
"Dennis Rodman","118","101"
"Diane Louise Salinger","0","10"
"Didi Conn","-14","246"
"Dj Daddy K","-4","0"
"Dog the Bounty Hunter","12","161"
"Dolf Dietrich","22","0"
"Dolph Lundgren","53","123"
"Don Johnson","-13","43"
