"cameoName",averagePlayerValue,actualValue,playerValueCount
"Bobo Sasquatch",35,20,175
"Jonathan Donais",37,15,149
"Ryan Creamer",32,20,97
"Perry Richardson",53,29,168
"Tim Ripper Owens",49,35,193
"Les Gold",61,35,187
"Paul Chuckle",52,49,183
"Evan Antin",54,45,199
"Boffo The Bear",33,20,170
"Chris Gethard",65,35,202
"Hide The Pain Harold",182,250,190
"Tennis",47,30,193
"Roger Stone",109,75,193
"Rod Blagojevich",95,80,136
"Puggy Smalls",33,15,197
"Kyle Troup",40,25,210
"Alex Kack",35,10,166
"Matt Hoffman",36,13,177
"Jon Lovitz",146,150,181
"Ray Williams",36,20,194
"Cat Drawing Guy",37,39,201
"Evan Stone",62,29,130
"Joe Arpaio",49,30,233
"Jonah Falcon",35,25,202
"Kevin Allison",59,45,194
"Ken Bone",37,25,226
"Smelly",57,40,183
"Ted DiBiase",107,75,146
"Dean Ween",90,99,151
"William Hung",45,30,180
"Vermin Supreme",43,25,229
"Xanman",60,50,172
"Gibby Haynes",91,95,145
"iAmMoshow",63,50,152
"HR",90,95,166
"Paula Poundstone",57,49,184
"Mick Foley",119,149,143
"David Ellefson",62,25,266
"June Shannon",71,50,180
"Chumlee",105,85,168
"Punxsutawney Phil",173,199,184
"Steve Carlson",97,117,145
"Tommy Chong",169,150,145
"Eamon Sandwith",43,30,222
"Kato Kaelin",75,60,190
"Count Binface",59,45,72
"Amos Pearce",25,15,20
"DaddysJuiced",14,20,10
"Island Boys",145,140,55
"Kent “Toast” French",37,15,36
"Mathew Knowles",49,40,81
"Redman",156,160,181
"Takeru Kobayashi",106,120,154
"Jennifer Elise Cox",94,75,158
"George Clanton",61,69,65
"Chupey Carlyle",75,8,32
"Butterbean",86,75,159
"Henry",123,200,161
"Maci Bookout",89,80,167
"Sleazy P Martini",57,40,190
"Tay Zonday",65,40,208
"KID from Kid N Play",75,65,156
"Burton Gilliam",101,100,132
"Anthony Scaramucci",102,55,186
"Andy Kindler",64,35,197
"Prince Charles-Henri de Lobkowicz",94,50,139
