"iname","icount"
"49ERS","1"
"A SERIOUS MAN","1"
"AFFLECK","1"
"AFTER EFFECTS","1"
"AKITA","1"
"ALADDIN","1"
"ALGERIA","1"
"ALUMINUM","1"
"AMERICAN","1"
"AMETHYST","3"
"ANALYTICS","1"
"ANDORRA","1"
"ANDROMEDA","2"
"ANGOLA","2"
"ANIMATE","3"
"ANT MAN","1"
"ANTMAN","1"
"APHRODITE","5"
"APOLLO","9"
"APPLE","2"
"APPLE JACK","3"
"APPLE JACKS","2"
"APPLEJACK","8"
"APU","8"
"AQUA","1"
"AQUAMAN","1"
"AQUILA","1"
"ARABIC","6"
"ARAGORN","2"
"ARBY'S","1"
"ARBYS","3"
"ARCHERY","1"
"ARES","2"
"ARGON","3"
"ARIES","1"
"ARMING SWORD","1"
"ARMY OF ME","1"
"ARRYN","1"
"ARSENIC","1"
"ARTEMIS","1"
"ARWEN","1"
"ASTROS","2"
"ATHENA","8"
"AZURE","7"
"BACON","2"
"BALD EAGLE","1"
"BALDER","5"
"BANANA","11"
"BARNEY","3"
"BAROQUE","2"
"BASKETBALL","1"
"BASS","5"
"BASSOON","2"
"BASTET","1"
"BAT MAN","1"
"BATMAN","3"
"BATWOMAN","1"
"BAYONETTA","1"
"BEAGLE","1"
"BEAUTYANDTHEBEAST","1"
"BEEDRILL","1"
"BEEF","2"
"BEET","3"
"BEETROOT","1"
"BELGIUM","6"
"BELLSPROUT","1"
"BENGAL","1"
"BENGALS","1"
"BERKELIUM","1"
"BERRY","1"
"BIG HERO 6","1"
"BIG SHOW\","1"
"BILBO","9"
"BILL","11"
"BILLS","2"
"BISCOTTI","1"
"BJÖRK","1"
"BLACK OLIVES","1"
"BLACK WIDOW","1"
"BLASTOISE","1"
"BLOODHOUND","2"
"BLOODY MARY","3"
"BLUE BONNET","1"
"BLUE JAYS","2"
"BLUEBERRY","5"
"BLUEJAYS","1"
"BLUES","1"
"BOB","8"
"BOJANGLES","1"
"BOKCHOY","1"
"BONES","1"
"BONKA","1"
"BOOBIES","7"
"BOOBS","27"
"BORDERCOLLIE","1"
"BOROMIR","4"
"BORON","3"
"BOSOM","1"
"BOTSWANA","1"
"BOW","2"
"BOWSER","3"
"BRAIN","5"
"BRAVES","1"
"BRET HART","1"
"BRIE","2"
"BROMINE","2"
"BRONCHI","1"
"BRONCOS","2"
"BROWNS","4"
"BRUINS","3"
"BUGS BUNNY","12"
"BUGSBUNNY","2"
"BULGARIA","1"
"BULLDOG","1"
"BURGER KING","10"
"BURGERKING","4"
"BURMESE","1"
"BURN AFTER READING","2"
"BUTTER","1"
"CABBAGE","12"
"CALCIUM","2"
"CAMELLIA","1"
"CAMEMBERT","5"
"CANCER","6"
"CANDY","2"
"CANDY LAND","1"
"CANDYLAND","2"
"CANNON","2"
"CAPTAIN AMERICA","2"
"CARBON","7"
"CARDINAL","4"
"CARDINALS","2"
"CARROT","10"
"CARROT ","1"
"CARS","1"
"CELLO","10"
"CENTAUR","1"
"CERULEAN","3"
"CERULEAN BLUE","1"
"CHAD","3"
"CHARIZARD","7"
"CHARMANDER","1"
"CHECKERS","3"
"CHEDDAR","10"
"CHEERIOS","3"
"CHERRY","2"
"CHESS","2"
"CHEST","4"
"CHEX","1"
"CHICKADEE","1"
"CHICKEN","1"
"CHIEFS","1"
"CHIPOTLE","1"
"CHOCOLATE","2"
"CHOCOLATE CHIP ","1"
"CHOW CHOW","1"
"CHROM","1"
"CHRONOS","1"
"CHUTES AND LADDERS","1"
"CLARINET","2"
"CLAY","1"
"CLIMBING","1"
"CLIT","5"
"CLITORIS","1"
"CLUE","2"
"COBALT","2"
"COCK","24"
"COCOA PUFFS","5"
"COCOAPEBBLES","1"
"COFFEE MATE","1"
"COLBY JACK","1"
"COOZE","1"
"COPPER","2"
"CORNFLAKES","3"
"CORNPOPS","1"
"COSBY","1"
"COTTON","1"
"COWBOYS","2"
"CRAZY TOWN","1"
"CROATIAN","2"
"CROSSBOW","3"
"CROW","2"
"CRUISE","1"
"CRUNCH","3"
"CUBISM","3"
"CUBS","2"
"CUCUMBER","2"
"CULVERS","1"
"CUNT","4"
"CURLING","1"
"CYAN","1"
"CYCLOPS","1"
"CYGNUS","1"
"CYPRUS","2"
"CYRAX","1"
"DADA","1"
"DAFFY DUCK","6"
"DAGGER","2"
"DAIQUIRI","1"
"DARK AND STORMY","1"
"DARK SAMUS","1"
"DARYL","2"
"DEADPOOL","1"
"DEBUT","3"
"DEL TACO","1"
"DEMETER","5"
"DENMARK","1"
"DEPRESSED","1"
"DEVILS","1"
"DIAMOND","11"
"DICK","20"
"DIDDY KONG","2"
"DIGLETT","1"
"DIONYSUS","7"
"DIPPER","4"
"DITTO","3"
"DIVING","3"
"DJIBOUTI","4"
"DOLLAR","1"
"DOLPHINS","2"
"DONG","7"
"DONKEY KONG","1"
"DOUBLE BASS","1"
"DOUG'S 1ST MOVIE","1"
"DOWN","1"
"DREAMWEAVER","1"
"DUCK HUNT","1"
"DUFF","2"
"DUMBO","1"
"DUTCH","3"
"DUTCH\","1"
"EAGLE","1"
"EAGLES","3"
"EDDIE MURPHY","1"
"EDNA","1"
"EEL","1"
"EEVEE","1"
"EGGHEAD JR","1"
"EGYPT","4"
"ELMER FUDD","4"
"ELROND","1"
"EMERALD","4"
"ENGLISH","4"
"ESTONIA","1"
"ETHIOPIA","3"
"EURO","65"
"EYES","1"
"FALCO","1"
"FALLOPIAN TUBES","1"
"FARAMIR","2"
"FARGO","3"
"FENCING","1"
"FETA","2"
"FINCH","3"
"FINDING NEMO","3"
"FINLAND","2"
"FINNISH","2"
"FISH","1"
"FLAIL","3"
"FLAREON","1"
"FLASH","7"
"FLASH]","1"
"FLOCK OF SEAGULLS","1"
"FLOCKOFSEAGULLS","1"
"FLUTE","2"
"FLUTTER SHY","1"
"FLUTTERSHY","8"
"FLYERS","1"
"FORGETMENOT","1"
"FOX","2"
"FRANC","3"
"FRANC#","1"
"FRANCE","3"
"FRENCH","8"
"FREYJA","3"
"FREYR","1"
"FRODO","4"
"FROOT LOOPS","2"
"FROST","3"
"FROSTED FLAKES","2"
"FROSTEDFLAKES","1"
"FROZEN","2"
"FRUITY PEBBLES","1"
"GAMBIA","1"
"GANDALF","8"
"GANONDORF","1"
"GARLIC","1"
"GARNET","1"
"GEMINI","2"
"GENE","3"
"GERMAN","4"
"GERMAN SHEPHERD","2"
"GERMANY","6"
"GHANA","1"
"GIANTS","5"
"GIFFANY","1"
"GIMLI","4"
"GIN FIZZ","1"
"GINGER","3"
"GINGERBREAD","1"
"GOAT","1"
"GOLD","5"
"GOLDEN RETRIEVER","2"
"GOLDENROD","1"
"GOLDFINCH","1"
"GOLDUCK","1"
"GOLF","1"
"GOLLUM","5"
"GONG","1"
"GONZO","12"
"GORGONZOLA","2"
"GORO","2"
"GOTHIC","4"
"GOUDA","3"
"GRANNY","1"
"GRANNY SMITH","1"
"GRAPE","1"
"GRAPE NUTS","1"
"GREAT DANE","1"
"GREECE","11"
"GREEN","2"
"GRENDA","1"
"GRIFFIN","6"
"GRUNKLE STAN","3"
"HADES","4"
"HAIL CAESAR","1"
"HALBERD","2"
"HALLOUMI","1"
"HAM","1"
"HAMBURGER","1"
"HANS","2"
"HANSON","1"
