"iname","headValue","icount","lastRemoved"
"Phil Knight",47.3,289,"2025-06-11 19:43:37"
"David Green",7.3,165,"2025-06-02 03:48:24"
"Neal Blue",3,152,"2024-12-25 07:49:33"
"François Pinault",40.4,146,"2025-07-06 02:10:30"
"Harold Hamm",17.2,145,"2025-07-05 01:17:18"
"Nicky Oppenheimer",8.7,144,"2025-04-30 18:36:44"
"German Larrea Mota Velasco",30.8,143,"2025-06-10 03:43:49"
"Bernard Arnault",158,127,"2025-04-14 04:22:24"
"Murali Divi",8.1,127,"2025-06-14 05:42:05"
"Theo Albrecht, Jr.",18.7,116,"2025-04-27 01:19:42"
"Julia Koch",60,115,"2025-06-25 20:31:26"
"Francoise Bettencourt Meyers",74.8,112,"2024-11-13 18:32:11"
"Chu Mang Yee",4.7,96,"2025-06-26 16:51:50"
"Eric Yuan",5.2,96,"2025-03-16 18:31:00"
"Ted Lerner",4.5,92,"2025-07-03 07:07:03"
"Emanuele (Lino) Saputo",4.8,89,"2025-05-27 19:07:46"
"Wang Yanqing",1.7,89,"2025-05-15 16:34:42"
"Archie Aldis Emmerson",3.4,88,"2025-07-03 02:42:14"
"Gregorio Perez Companc",2.8,88,"2025-06-08 18:20:31"
"Vincent Bolloré",7.5,86,"2025-06-28 20:32:05"
"Thomas Frist, Jr.",21.8,85,"2025-01-03 04:50:36"
"Qi Shi",9.9,81,"2025-04-11 01:52:35"
"John A. Sobrato",5.8,78,"2025-07-04 06:28:13"
"Othman Benjelloun",1.3,71,"2025-06-04 16:49:04"
"Leonardo Del Vecchio",27.3,69,"2025-05-12 03:03:05"
"Dagmar Dolby",4.6,63,"2025-05-05 23:46:40"
"Wu Xushun",1.4,62,"2025-04-18 02:14:36"
"George Argyros",2.4,61,"2025-03-11 16:54:16"
"Rodger Riney",3.6,61,"2024-12-28 18:38:16"
"Stewart Horejsi",2.9,61,"2025-02-18 05:29:12"
"Jeffrey Michael",1.1,60,"2025-05-31 02:25:33"
"Zhen Li",1.5,57,"2025-07-08 14:41:32"
"Les Wexner",5.8,55,"2025-07-06 03:54:19"
"Sandro Veronesi",1.3,55,"2025-06-01 02:09:26"
"Savitri Jindal",17.7,55,"2025-06-22 00:42:52"
