"iname","icount"
"“Goop” is the word that Gwyneth Paltrow uses for {semen.}","8"
"{A barn owl} is the only animal on earth that can feel love.","-1"
"{A toilet} is becoming a completely foreign object to women.","10"
"{Being a juggalo} is just like being a normal person.","-7"
"{Bruce Lee} was black.","7"
"{Canoe} complications are enough to strain any relationship.","4"
"{Christopher Walken} is the most successful black actor in Hollywood.","-5"
"{Cocaine} improves heart function when taken in moderation.","23"
"{Dark matter} killed the dinosaurs.","-1"
"{Dogs} are the most venomous animal in the world.","-18"
"{Dolphins} know how to access multiple dimensions.","0"
"{Dried pee} smells a lot like perfume.","-5"
"{Everyone playing this game with you} is a lizard person.","6"
"{Flashlights} produce small nuclear explosions.","-9"
"{Gangrene} will heal naturally if given enough time.","0"
"{Ghosts can haunt your anus and} give you mad uncontrollable bouts of farting.","1"
"{Gravity} is a constant everywhere on Earth, except Mexico.","-3"
"{It is legal to} post nude photos of someone without their consent.","2"
"{Justin Bieber} has an IQ of 186.","-11"
"{Leonardo DiCaprio's salary} is bankrupting America.","0"
"{Man used to live} for hundreds of years disease free.","-6"
"{Pouring sugar on} a turtle will cause its shell to melt.","-12"
"{Pubic lice are a turn on because} when you go down on someone, they're like right in your nose.","5"
"{Salt} needs more sugar.","-6"
"{Sand dollars} are valid US currency.","-6"
"{Slavery} did not exist in America.","-4"
"{Small breasts} are a thing of the past.","2"
"{Snow} is a side effect of nuclear fallout.","22"
"{Stevie Knicks} has never taken drugs.","-1"
"{The first couple Matchbox 20} albums are actually really good.","-1"
"{The iPhone} was the key piece of technology that allowed humans to finally travel to the moon.","-18"
"{The Kardashians} are in league with Al-Qaeda.","8"
"{The Wrongest Words} is a government test for autism.","13"
"{There genuinely are} monsters under children's beds.","5"
"{There is no such thing as a “best”} when it comes to sports or sports teams.","7"
"{Warhammer 40,000} can make anything awesome.","5"
"{Zombies} caused the end of the Roman Empire.","1"
"3 days after milk spoils, it will {smell like lilac.}","-11"
"A cat's vertically-split pupils allow it {to see ghosts, but only the ghosts of} other cats.","-8"
"After leaving Apple, Steve Wozniak got a job as {a hedge fund manager.}","-3"
"America should put all its prisoners {into one giant super prison.}","1"
"An accident at a seance caused Jon Stewart{'s soul to inhabit Trevor Noah's body.}","0"
"As of 2002, {love went extinct.}","-8"
"Bear attacks can be prevented with {belly rubs.}","16"
"Benedict Cumberbatch was born and raised in {Tuscaloosa, Alabama.}","-2"
"Beyoncé has an {alpaca ranch in the Himalayas.}","0"
"Britney Spears {invented tubthumping.}","-6"
"Chris Pratt's feet {smell of fresh pine needles year round.}","-3"
"Clowns are {sexy.}","-7"
"Damon Wayans Jr. is actually {Damon Wayans Sr. with a wig on.}","0"
"David Beckham credits {wiccan magick} as the reason for his success in football.","0"
"Dogs are {only colorblind when they are} not barking.","6"
