Rank,Name,Net Worth,Previous Net Worth,Country,Source of Wealth,Industry,Title,Organization,Age,Gender,Residence,Citizenship,Education,Marital Status,Children
1,Elon Musk,405.6,195,United States,"Tesla, SpaceX",Automotive,CEO,Tesla,54,M,"Austin, Texas",United States,"Bachelor of Arts/Science, University of Pennsylvania",Single,11
2,Larry Ellison,290.6,141,United States,Oracle,Technology,CTO and Founder,Oracle,80,M,"Woodside, California",United States,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign",In Relationship,4
3,Mark Zuckerberg,245.9,177,United States,Facebook,Technology,Co-founder,Meta Platforms,41,M,"Palo Alto, California",United States,"Drop Out, Harvard University",Married,3
4,Jeff Bezos,244,194,United States,Amazon,Technology,Chairman and Founder,Amazon,61,M,"Miami, Florida",United States,"Bachelor of Arts/Science, Princeton University",Engaged,4
5,Larry Page,158.9,114,United States,Google,Technology,Co-founder and Board Member,Alphabet,52,M,"Palo Alto, California",United States,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan",Married,1
6,Bernard Arnault & family,151.7,233,France,LVMH,Fashion & Retail,Chairman and CEO,LVMH Moët Hennessy Louis Vuitton,76,M,"Paris, France",France,"Bachelor of Arts/Science, Ecole Polytechnique de Paris",Married,5
6,Sergey Brin,151.7,110,United States,Google,Technology,Co-founder and Board Member,Alphabet,51,M,"Los Altos, California",United States,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Maryland, College Park",Separated,3
8,Jensen Huang,151,77,United States,Semiconductors,Technology,CEO & President,NVIDIA,62,M,"Los Altos, California",United States,"Bachelor of Science in Engineering, Oregon State University; Master of Science in Engineering, Stanford University",Married,0
9,Warren Buffett,144.6,133,United States,Berkshire Hathaway,Finance & Investments,CEO,Berkshire Hathaway Inc. (Cl A),94,M,"Omaha, Nebraska",United States,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln","Widowed, Remarried",3
10,Steve Ballmer,144.3,121,United States,Microsoft,Technology,Owner,Los Angeles Clippers,69,M,"Hunts Point, Washington",United States,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University",Married,3
11,Michael Dell,129.7,91,United States,Dell Technologies,Technology,Chairman and CEO,Dell,60,M,"Austin, Texas",United States,"Drop Out, The University of Texas at Austin",Married,4
12,Amancio Ortega,119.1,103,Spain,Zara,Fashion & Retail,"Founder, Former Chairman",Inditex Fashion Group,89,M,"La Coruna, Spain",Spain,N/A,Married,3
13,Bill Gates,117.9,128,United States,Microsoft,Technology,Cochair,Bill & Melinda Gates Foundation,69,M,"Medina, Washington",United States,"Drop Out, Harvard University",Divorced,3
14,Rob Walton & family,116.5,77.4,United States,Walmart,Fashion & Retail,Director,Walmart,80,M,"Bentonville, Arkansas",United States,"Doctor of Jurisprudence, Columbia University; Bachelor of Arts/Science, University of Arkansas",Married,3
15,Jim Walton & family,115.4,78.4,United States,Walmart,Fashion & Retail,Chairman and CEO,"Arvest Bank Group, Inc.",77,M,"Bentonville, Arkansas",United States,"Bachelor of Arts/Science, University of Arkansas",Married,4
16,Alice Walton,106.9,72.3,United States,Walmart,Fashion & Retail,Philanthropist,Crystal Bridges Museum of American Art,75,F,"Fort Worth, Texas",United States,"Bachelor of Arts/Science, Trinity University",Divorced,0
17,Mukesh Ambani,105.4,116,India,Diversified,Diversified,Chairman and Managing Director,Reliance Industries,68,M,"Mumbai, India",India,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai",Married,3
18,Michael Bloomberg,104.7,106,United States,Bloomberg LP,Finance & Investments,CEO,Bloomberg,83,M,"New York, New York",United States,"Master of Business Administration, Harvard Business School; Bachelor of Arts/Science, Johns Hopkins University",In Relationship,2
