Name,Age,2024 Net Worth,Industry,Source of Wealth,Title,Organization,Self-Made,Self-Made Score,Philanthropy Score,Residence,Citizenship,Gender,Marital Status,Children,Education
Bernard Arnault & family,75,$233B,Fashion & Retail,LVMH,Chairman and CEO,LVMH Moët Hennessy Louis Vuitton,FALSE,,,"Paris, France",France,M,Married,5,"Bachelor of Arts/Science, Ecole Polytechnique de Paris"
Elon Musk,52,$195B,Automotive,"Tesla, SpaceX",CEO,Tesla,TRUE,8,1,"Austin, Texas",United States,M,Single,11,"Bachelor of Arts/Science, University of Pennsylvania"
Jeff Bezos,60,$194B,Technology,Amazon,Chairman and Founder,Amazon,TRUE,8,2,"Miami, Florida",United States,M,Engaged,4,"Bachelor of Arts/Science, Princeton University"
Mark Zuckerberg,39,$177B,Technology,Facebook,Co-founder,Meta Platforms,TRUE,8,2,"Palo Alto, California",United States,M,Married,3,"Drop Out, Harvard University"
Larry Ellison,79,$141B,Technology,Oracle,CTO and Founder,Oracle,TRUE,9,1,"Woodside, California",United States,M,In Relationship,4,"Drop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
Warren Buffett,93,$133B,Finance & Investments,Berkshire Hathaway,CEO,Berkshire Hathaway Inc. (Cl A),TRUE,8,5,"Omaha, Nebraska",United States,M,"Widowed, Remarried",3,"Master of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
Bill Gates,68,$128B,Technology,Microsoft,Cochair,Bill & Melinda Gates Foundation,TRUE,8,5,"Medina, Washington",United States,M,Divorced,3,"Drop Out, Harvard University"
Steve Ballmer,68,$121B,Technology,Microsoft,Owner,Los Angeles Clippers,TRUE,6,2,"Hunts Point, Washington",United States,M,Married,3,"Bachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
Mukesh Ambani,66,$116B,Diversified,Diversified,Chairman and Managing Director,Reliance Industries,FALSE,,,"Mumbai, India",India,M,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
Larry Page,51,$114B,Technology,Google,Co-founder and Board Member,Alphabet,TRUE,8,1,"Palo Alto, California",United States,M,Married,1,"Master of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
